Family,Binomial,A (mm^2),N (mm^-2),F (mm^2/mm^2),logA (mm^2),logN (mm^-2),logF (mm^2/mm^2),D (g/cm^3),AbsLat (Degrees),,DATASET VALUES,,,,,,,,
Clusiaceae,Symphonia globulifera,0.035632729,4,0.142530917,-1.448150912,0.602059991,-0.84609092,0.74,7.608333334,,,,,,,,,,
Polygalaceae,Xanthophyllum rufum,0.020106193,6,0.120637158,-1.696670153,0.77815125,-0.918518903,0.74,1,,,,,,,,,,
Meliaceae,Carapa procera,0.024052819,11,0.264581006,-1.618834021,1.041392685,-0.577441336,0.739610849,3.608333334,,,,,,,,,,
Fabaceae,Microberlinia brazzavillensis,0.033006358,7,0.231044505,-1.481402397,0.84509804,-0.636304357,0.7368143,3,,,,,,,,,,
Fabaceae,Acacia robusta,0.015836769,5,0.079183843,-1.80033343,0.698970004,-1.101363426,0.73185,26,,,,,,,,,,
Acanthaceae,Avicennia marina,0.003117245,50,0.155862266,-2.50622902,1.698970004,-0.807259015,0.73185,31,,,,,,,,,,
Loganiaceae,Fagraea fragrans,0.017671459,12,0.212057504,-1.752727601,1.079181246,-0.673546354,0.73185,10.61666667,,,,,,,,,,
Aquifoliaceae,Ilex chapaensis,0.005541769,46,0.254921394,-2.256351547,1.662757832,-0.593593715,0.73185,21,,,,,,,,,,
Boraginaceae,Bourreria purpusii,0.000706858,79,0.055841809,-3.150667609,1.897627091,-1.253040518,0.73,23,,,,,,,,,,
Rosaceae,Prunus fordiana,0.003019071,62,0.187182373,-2.52012674,1.792391689,-0.72773505,0.73,21,,,,,,,,,,
Dipterocarpaceae,Shorea robusta,0.014957123,19,0.28418533,-1.825151946,1.278753601,-0.546398345,0.73,28,,,,,,,,,,
Polygalaceae,Xanthophyllum vitellinum,0.022698007,18,0.408564125,-1.644012276,1.255272505,-0.388739771,0.73,1,,,,,,,,,,
Myrtaceae,Eucalyptus macrorhyncha,0.008659015,15,0.129885221,-2.06253152,1.176091259,-0.886440261,0.726260333,32,,,,,,,,,,
Apocynaceae,Alstonia macrophylla,0.005026548,49,0.246300864,-2.298730145,1.69019608,-0.608534065,0.72,,,,,,,,,,,
Euphorbiaceae,Bischofia javanica,0.017671459,4,0.070685835,-1.752727601,0.602059991,-1.150667609,0.72,16.025,,,,,,,,,,
Moraceae,Brosimum gaudichaudii,0.009503318,17,0.161556402,-2.022124748,1.230448921,-0.791675827,0.72,10,,,,,,,,,,
Euphorbiaceae,Hieronima alchorneoides,0.041547563,6,0.249285377,-1.381454447,0.77815125,-0.603303196,0.72,9.575,,,,,,,,,,
Fabaceae,Koompassia excelsa,0.046495571,3,0.124407069,-1.332588412,0.477121255,-0.905154941,0.72,5,,,,,,,,,,
Moraceae,Streblus asper,0.008659015,11,0.095249162,-2.06253152,1.041392685,-1.021138835,0.72,,,,,,,,,,,
Bignoniaceae,Tabebuia rosea,0.011150298,15,0.16388982,-1.952713536,1.176091259,-0.785448021,0.72,14.075,,,,,,,,,,
Verbenaceae,Tectona grandis,0.020106193,10,0.120637158,-1.696670153,1,-0.918518903,0.72,,,,,,,,,,,
Fabaceae,Xylia dolabriformis,0.030171856,7,0.211202991,-1.520397976,0.84509804,-0.675299936,0.72,,,,,,,,,,,
Fabaceae,Aldina insignis,0.058964553,1,0.058964553,-1.229408993,0,-1.229408993,0.71463,10,,,,,,,,,,
Rubiaceae,Canthium lactescens,0.000530929,204,0.108309548,-3.274963423,2.309630167,-0.965333255,0.71463,2,,,,,,,,,,
Malvaceae,Nesogordonia papaverifera,0.005026548,24,0.120637158,-2.298730145,1.380211242,-0.918518903,0.713816989,3,,,,,,,,,,
Clusiaceae,Mammea africana,0.032365473,7,0.22655831,-1.489918043,0.84509804,-0.644820003,0.712821435,2,,,,,,,,,,
Myrtaceae,Eucalyptus sieberi,0.015393804,9,0.138544236,-1.812654047,0.954242509,-0.858411538,0.7126624,32.8,,,,,,,,,,
Fabaceae,Pericopsis elata,0.009503318,16,0.152053084,-2.022124748,1.204119983,-0.818004766,0.711560473,4.238888889,,,,,,,,,,
Apocynaceae,Alstonia angustifolia,0.005281017,31,0.163711535,-2.277282414,1.491361694,-0.78592072,0.71,,,,,,,,,,,
Erythroxylaceae,Erythroxylum amazonicum,0.002733971,31,0.084753101,-2.563206095,1.491361694,-1.071844402,0.71,,,,,,,,,,,
Erythroxylaceae,Erythroxylum citrifolium,0.002375829,62,0.147301426,-2.62418474,1.792391689,-0.83179305,0.71,,,,,,,,,,,
Erythroxylaceae,Erythroxylum cuneatum,0.004778362,29,0.13857251,-2.320720913,1.462397998,-0.858322915,0.71,,,,,,,,,,,
Erythroxylaceae,Erythroxylum glaucum,0.001661903,99,0.164528349,-2.779394455,1.995635195,-0.783759261,0.71,,,,,,,,,,,
Erythroxylaceae,Erythroxylum kapplerianum,0.001194591,90,0.107513155,-2.922780905,1.954242509,-0.968538395,0.71,,,,,,,,,,,
Erythroxylaceae,Erythroxylum macrophyllum,0.002551759,77,0.196485415,-2.593160407,1.886490725,-0.706669682,0.71,,,,,,,,,,,
Erythroxylaceae,Erythroxylum squamatum,0.001885741,66,0.124458905,-2.724517959,1.819543936,-0.904974023,0.71,,,,,,,,,,,
Fabaceae,Faidherbia albida,0.03630503,5,0.181525151,-1.440033199,0.698970004,-0.741063194,0.71,10.13333333,,,,,,,,,,
Rosaceae,Holodiscus discolor,0.000962113,65,0.062537329,-3.01677403,1.812913357,-1.203860673,0.71,37.01666667,,,,,,,,,,
Bignoniaceae,Stereospermum fimbriatum,0.010751315,5,0.053756577,-1.968538395,0.698970004,-1.269568391,0.71,,,,,,,,,,,
Myrtaceae,Eucalyptus globoidea,0.013273229,10,0.13273229,-1.877023414,1,-0.877023414,0.7092184,32.8,,,,,,,,,,
Fabaceae,Amphimas ferrugineus,0.047143525,2,0.09428705,-1.32657795,0.301029996,-1.025547954,0.70602,2,,,,,,,,,,
Betulaceae,Carpinus betulus,0.002720619,46.5,0.127108839,-2.565332235,1.667452953,-0.895824249,0.70602,45.78333333,,,,,,,,,,
Theaceae,Stuartia kwangtungensis,0.001963495,92,0.180641578,-2.70697011,1.963787827,-0.743182283,0.70602,,,,,,,,,,,
Rosaceae,Photinia davidsoniae,0.000829773,174,0.14438053,-3.081040617,2.240549248,-0.840491369,0.701,,,,,,,,,,,
Cornaceae,Alangium griffithii,0.010386891,10,0.103868907,-1.983514438,1,-0.983514438,0.7,,,,,,,,,,,
Malvaceae,Bastardiopsis densiflora,0.009503318,13,0.123543131,-2.022124748,1.113943352,-0.908181396,0.7,20,,,,,,,,,,
Moraceae,Brosimum costaricanum,0.011309734,11,0.124407069,-1.946547627,1.041392685,-0.905154941,0.7,10,,,,,,,,,,
Clusiaceae,Calophyllum brasiliense,0.024052819,7,0.168369731,-1.618834021,0.84509804,-0.773735981,0.7,13.8,,,,,,,,,,
Sapotaceae,Chrysophyllum gonocarpum,0.002827433,38,0.107442469,-2.548607618,1.579783597,-0.968824021,0.7,16,,,,,,,,,,
Fabaceae,Copaifera officinalis,0.013069811,6,0.078418865,-1.883730698,0.77815125,-1.105579448,0.7,,,,,,,,,,,
Sapindaceae,Dimocarpus longan,0.007542964,14,0.105601495,-2.122457967,1.146128036,-0.976329932,0.7,,,,,,,,,,,
Fagaceae,Quercus lamellosa,0.014957123,4,0.05982849,-1.825151946,0.602059991,-1.223091955,0.7,28,,,,,,,,,,
Lauraceae,Beilschmiedia tawa,0.005674502,11,0.045396014,-2.246072267,1.041392685,-1.34298228,0.699,39.5,,,,,,,,,,
Fabaceae,Piptadeniastrum africanum,0.051090151,3,0.151267686,-1.291662818,0.477121255,-0.820253836,0.698764212,3,,,,,,,,,,
Ulmaceae,Pteroceltis tatarinowii,0.006920143,21,0.146568649,-2.159884917,1.322219295,-0.833958915,0.69741,50,,,,,,,,,,
Rhamnaceae,Ziziphus mauritiana,0.012271846,10,0.122718463,-1.911090093,1,-0.911090093,0.6952575,6,,,,,,,,,,
Euphorbiaceae,Drypetes gossweileri,0.010386891,11,0.114255798,-1.983514438,1.041392685,-0.942121753,0.691107078,,,,,,,,,,,
Sapindaceae,Billia columbiana,0.007853982,10,0.078539816,-2.104910119,1,-1.104910119,0.69,6,,,,,,,,,,
Meliaceae,Cabralea canjerana,0.031415927,9,0.282743339,-1.502850127,0.954242509,-0.548607618,0.69,20,,,,,,,,,,
Euphorbiaceae,Pera glabrata,0.017671459,7,0.123700211,-1.752727601,0.84509804,-0.907629561,0.69,,,,,,,,,,,
Fabaceae,Acacia karroo,0.020867244,8,0.16693795,-1.68053491,0.903089987,-0.777444923,0.6888,26,,,,,,,,,,
Zygophyllaceae,Balanites aegyptiaca,0.009120436,9,0.093482016,-2.039984392,0.954242509,-1.029271928,0.6888,19.13333333,,,,,,,,,,
Myrtaceae,Eucalyptus grandis,0.004592808,83.5,0.064556368,-2.337921692,1.921686475,-1.190060915,0.6888,24.5,,,,,,,,,,
Lythraceae,Sonneratia griffithii,0.006082123,35,0.212874318,-2.215944774,1.544068044,-0.67187673,0.6888,23,,,,,,,,,,
Rubiaceae,Vangueria infausta,0.000936587,100.5,0.091159987,-3.028451731,2.002166062,-1.040195747,0.6888,4,,,,,,,,,,
Polygalaceae,Xanthophyllum octandrum,0.0254469,26,0.661619413,-1.594365108,1.414973348,-0.17939176,0.6888,1,,,,,,,,,,
Olacaceae,Octoknema borealis,0.004417865,35,0.154625263,-2.354787592,1.544068044,-0.810719548,0.688010092,13,,,,,,,,,,
Apocynaceae,Alstonia spectabilis,0.004417865,38,0.167878857,-2.354787592,1.579783597,-0.775003995,0.6848664,20.5,,,,,,,,,,
Cornaceae,Cornus sanguinea,0.001214226,77,0.093189063,-2.915700629,1.886490725,-1.030635056,0.68019,52.69166667,,,,,,,,,,
Fabaceae,Acrocarpus fraxinifolius,0.054325206,2,0.108650411,-1.264998622,0.301029996,-0.963968626,0.68,17.5,,,,,,,,,,
Fabaceae,Dicorynia guianensis,0.047143525,4,0.188574099,-1.32657795,0.602059991,-0.724517959,0.68,8.5,,,,,,,,,,
Anacardiaceae,Mangifera indica,0.022698007,5,0.113490035,-1.644012276,0.698970004,-0.945042272,0.68,12,,,,,,,,,,
Dipterocarpaceae,Shorea ovata,0.033979466,5,0.169897331,-1.468783449,0.698970004,-0.769813444,0.68,14,,,,,,,,,,
Moraceae,Trophis mexicana,0.016512996,8,0.132103971,-1.782174114,0.903089987,-0.879084127,0.68,20.8,,,,,,,,,,
Fabaceae,Swartzia cuspidata,0.005541769,13,0.072043003,-2.256351547,1.113943352,-1.142408194,0.678,10,,,,,,,,,,
Myrtaceae,Eucalyptus baxteri,0.014313882,9,0.128824934,-1.844242582,0.954242509,-0.890000072,0.673189667,32,,,,,,,,,,
Solanaceae,Duckeodendron cestroides,0.027464588,10,0.274645884,-1.561226906,1,-0.561226906,0.6725,,,,,,,,,,,
Fagaceae,Nothofagus menziesii,0.002463009,116,0.285709002,-2.608534065,2.064457989,-0.544076075,0.672,41.33333334,,,,,,,,,,
Rosaceae,Sorbus aria,0.000908706,150.5,0.137427793,-3.04157676,2.1775365,-0.861925429,0.67158,42.19166667,,,,,,,,,,
Fabaceae,Acacia polyacantha,0.02659044,5,0.132952201,-1.575274473,0.698970004,-0.876304468,0.6711495,26,,,,,,,,,,
Moraceae,Milicia excelsa,0.035566363,3.5,0.120578646,-1.448960542,0.544068044,-0.918729598,0.670759785,4.633333334,,,,,,,,,,
Theaceae,Gordonia hainanensis,0.001809557,113,0.204479983,-2.742427644,2.053078443,-0.6893492,0.670719,19,,,,,,,,,,
Ebenaceae,Diospyros virginiana,0.01183006,13,0.132437765,-1.927013059,1.113943352,-0.877988156,0.67,37,,,,,,,,,,
Malvaceae,Guazuma ulmifolia,0.013273229,13,0.172551976,-1.877023414,1.113943352,-0.763080062,0.67,9.15,,,,,,,,,,
Magnoliaceae,Michelia champaca,0.008011847,18,0.14421324,-2.096267371,1.255272505,-0.840994866,0.67,12,,,,,,,,,,
Moraceae,Naucleopsis concinna,0.005674502,33,0.187258557,-2.246072267,1.51851394,-0.727558327,0.67,10,,,,,,,,,,
Sapindaceae,Pometia tomentosa,0.024605739,3,0.073817217,-1.608963586,0.477121255,-1.131842331,0.67,,,,,,,,,,,
Rosaceae,Prunus javanica,0.012271846,9,0.110446617,-1.911090093,0.954242509,-0.956847583,0.67,,,,,,,,,,,
Cunoniaceae,Weinmannia blumei,0.005541769,38,0.210587239,-2.256351547,1.579783597,-0.67656795,0.67,5.5,,,,,,,,,,
Escalloniaceae,Carpodetus serratus,0.001749741,49,0.085737331,-2.757026121,1.69019608,-1.066830041,0.668,41.68333334,,,,,,,,,,
Meliaceae,Entandrophragma candollei,0.022698007,4,0.090792028,-1.644012276,0.602059991,-1.041952285,0.6669119,2,,,,,,,,,,
Myrtaceae,Eucalyptus obliqua,0.018626503,6,0.111759017,-1.729868677,0.77815125,-0.951717427,0.66297,24,,,,,,,,,,
Rhamnaceae,Ziziphus xylopyrus,0.009503318,10,0.095033178,-2.022124748,1,-1.022124748,0.66297,,,,,,,,,,,
Rosaceae,Pyrus communis,0.001810081,183.7,0.153806093,-2.742301998,2.264030344,-0.813026459,0.661248,49,,,,,,,,,,
Betulaceae,Betula utilis,0.003525652,22,0.077564352,-2.452760513,1.342422681,-1.110337832,0.66,28,,,,,,,,,,
Meliaceae,Cedrela odorata,0.045238934,5,0.271433605,-1.344487635,0.698970004,-0.566336385,0.66,11.08333333,,,,,,,,,,
Theaceae,Pyrenaria multisepala,0.002375829,91,0.216200479,-2.62418474,1.959041392,-0.665143347,0.66,,,,,,,,,,,
Theaceae,Ternstroemia gymnanthera,0.001630879,191,0.30720967,-2.787578183,2.281033367,-0.512565119,0.66,,,,,,,,,,,
Moraceae,Trophis scandens,0.020106193,5,0.100530965,-1.696670153,0.698970004,-0.997700149,0.658878333,,,,,,,,,,,
Fabaceae,Acacia galpinii,0.012076282,8,0.096610257,-1.918066748,0.903089987,-1.014976761,0.658665,26,,,,,,,,,,
Proteaceae,Helicia nilagirica,0.007853982,25,0.196349541,-2.104910119,1.397940009,-0.70697011,0.656082,28,,,,,,,,,,
Hamamelidaceae,Altingia excelsa,0.005674502,37,0.209956564,-2.246072267,1.568201724,-0.677870543,0.6547905,15,,,,,,,,,,
Fabaceae,Castanospermum australe,0.0254469,7,0.127234502,-1.594365108,0.84509804,-0.895395104,0.650055,20.59166667,,,,,,,,,,
Aquifoliaceae,Ilex aquifolium,0.000697695,138.3,0.16342565,-3.15633416,2.140926842,-0.786679779,0.65,43.46666667,,,,,,,,,,
Bignoniaceae,Jacaranda brasiliana,0.005089576,17.5,0.089067588,-2.293318358,1.243038049,-1.050280309,0.65,10,,,,,,,,,,
Bignoniaceae,Jacaranda obtusifolia,0.005751078,14.3,0.08371559,-2.240250738,1.153814864,-1.077193656,0.65,8.216666667,,,,,,,,,,
Moraceae,Pseudolmedia laevigata,0.010935884,17,0.185910028,-1.961146104,1.230448921,-0.730697183,0.65,3,,,,,,,,,,
Fabaceae,Swartzia euxylophora,0.016741547,6,0.100449284,-1.776204407,0.77815125,-0.998053157,0.65,10,,,,,,,,,,
Fabaceae,Swartzia fasciata,0.014313882,4,0.057255526,-1.844242582,0.602059991,-1.24218259,0.65,10,,,,,,,,,,
Fabaceae,Swartzia laevicarpa,0.009160884,5,0.045804421,-2.038062608,0.698970004,-1.339092603,0.65,10,,,,,,,,,,
Bignoniaceae,Stereospermum personatum,0.011122023,7,0.077854164,-1.953816196,0.84509804,-1.108718156,0.647472,,,,,,,,,,,
Rosaceae,Malus pumila,0.000962113,171,0.16452128,-3.01677403,2.23299611,-0.78377792,0.64575,,,,,,,,,,,
Moraceae,Milicia regia,0.027759113,4,0.111036451,-1.55659442,0.602059991,-0.954534429,0.640986133,,,,,,,,,,,
Fabaceae,Albizia procera,0.050471649,2,0.118791472,-1.296952502,0.301029996,-0.925214735,0.64,22,,,,,,,,,,
Cornaceae,Cornus florida,0.002463009,58,0.155169544,-2.608534065,1.763427994,-0.809193515,0.64,40.80555556,,,,,,,,,,
Proteaceae,Grevillea robusta,0.015393804,9,0.138544236,-1.812654047,0.954242509,-0.858411538,0.64,25.5,,,,,,,,,,
Malvaceae,Luehea divaricata,0.006361725,15,0.095425877,-2.1964251,1.176091259,-1.020333841,0.64,20,,,,,,,,,,
Sapotaceae,Pouteria alnifolia,0.005026548,33,0.165876092,-2.298730145,1.51851394,-0.780216205,0.64,2,,,,,,,,,,
Bignoniaceae,Spathodea campanulata,0.010815325,8,0.072810337,-1.965960409,0.903089987,-1.13780696,0.64,13.59166667,,,,,,,,,,
Malvaceae,Mansonia altissima,0.007088218,30,0.212646553,-2.149462908,1.477121255,-0.672341653,0.63720842,4.238888889,,,,,,,,,,
Fabaceae,Acacia melanoxylon,0.011976733,6,0.072419798,-1.921661634,0.77815125,-1.140142694,0.63714,22.33333333,,,,,,,,,,
Meliaceae,Entandrophragma cylindricum,0.015393804,13,0.200119452,-1.812654047,1.113943352,-0.698710695,0.632829173,7.5,,,,,,,,,,
Griseliniaceae,Griselinia littoralis,0.000968569,149,0.140677833,-3.013869559,2.173186268,-0.85177433,0.632,42.325,,,,,,,,,,
Fagaceae,Castanopsis hystrix,0.014313882,3,0.042941645,-1.844242582,0.477121255,-1.367121327,0.631113,24.5,,,,,,,,,,
Cornaceae,Nyssa sinensis,0.002922467,73,0.213340059,-2.534250449,1.86332286,-0.670927588,0.631113,,,,,,,,,,,
Sapotaceae,Tieghemella heckelii,0.013273229,18,0.238918121,-1.877023414,1.255272505,-0.621750909,0.630291802,3,,,,,,,,,,
Bignoniaceae,Radermachera sinica,0.002733971,11,0.030073681,-2.563206095,1.041392685,-1.52181341,0.630252,28,,,,,,,,,,
Sapindaceae,Lepisanthes rubiginosa,0.005026548,10,0.050265482,-2.298730145,1,-1.298730145,0.63,5,,,,,,,,,,
Sapindaceae,Lepisanthes senegalensis,0.005026548,10,0.050265482,-2.298730145,1,-1.298730145,0.63,,,,,,,,,,,
Oleaceae,Olea brachiata,0.002827433,40,0.113097336,-2.548607618,1.602059991,-0.946547627,0.63,19,,,,,,,,,,
Rosaceae,Photinia arbutifolia,0.000886027,157,0.178056047,-3.052552895,2.195899652,-0.749443273,0.63,36.79166667,,,,,,,,,,
Boraginaceae,Pteleocarpa lamponga,0.008659015,16,0.138544236,-2.06253152,1.204119983,-0.858411538,0.63,5,,,,,,,,,,
Lythraceae,Sonneratia alba,0.007088218,37,0.262264082,-2.149462908,1.568201724,-0.581261184,0.63,23,,,,,,,,,,
Meliaceae,Swietenia macrophylla,0.020106193,10,0.20106193,-1.696670153,1,-0.696670153,0.63,9.142857143,,,,,,,,,,
Rosaceae,Sorbus aucuparia,0.00178521,256,0.305815195,-2.748310683,2.408239965,-0.514540939,0.62853,52.665,,,,,,,,,,
Oleaceae,Ligustrum lucidum,0.002244668,160,0.338750082,-2.648847894,2.204119983,-0.470120591,0.628,28.8,,,,,,,,,,
Escalloniaceae,Quintinia acutifolia,0.001116279,107,0.119441805,-2.952227418,2.029383778,-0.922843641,0.626,41,,,,,,,,,,
Moraceae,Brosimum utile,0.028809975,5,0.144049877,-1.540457112,0.698970004,-0.841487108,0.625,6.575,,,,,,,,,,
Combretaceae,Terminalia superba,0.046691921,4,0.090792028,-1.33075826,0.602059991,-1.041952285,0.624542125,4.238888889,,,,,,,,,,
Malvaceae,Heritiera utilis,0.053092916,3,0.159278748,-1.274963423,0.477121255,-0.797842168,0.624288425,3,,,,,,,,,,
Fagaceae,Castanopsis indica,0.018869191,3,0.056607573,-1.724246722,0.477121255,-1.247125468,0.62,28,,,,,,,,,,
Lecythidaceae,Couratari guianensis,0.028352874,4,0.113411495,-1.547402917,0.602059991,-0.945342925,0.62,,,,,,,,,,,
Moraceae,Maquira calophylla,0.012271846,13,0.159534002,-1.911090093,1.113943352,-0.79714674,0.62,10,,,,,,,,,,
Araliaceae,Schefflera morototoni,0.005026548,9,0.045238934,-2.298730145,0.954242509,-1.344487635,0.62,10,,,,,,,,,,
Rosaceae,Sorbus folgneri,0.001320254,160,0.21124069,-2.879342405,2.204119983,-0.675222423,0.62,24,,,,,,,,,,
Tetrameristaceae,Tetramerista glabra,0.023655407,6.3,0.156907107,-1.62606957,0.801632346,-0.804357385,0.62,1.5,,,,,,,,,,
Theaceae,Eurya japonica,0.000962113,158,0.152013815,-3.01677403,2.198657087,-0.818116943,0.61992,,,,,,,,,,,
Theaceae,Schima wallichii,0.005872946,34.7,0.202165676,-2.231144017,1.539912085,-0.694292578,0.61992,17.75,,,,,,,,,,
Fagaceae,Nothofagus fusca,0.002206183,116,0.255917279,-2.656358379,2.064457989,-0.59190039,0.618,40.95833334,,,,,,,,,,
Monimiaceae,Hedycarya arborea,0.001963495,34,0.066758844,-2.70697011,1.531478917,-1.175491193,0.615,42.325,,,,,,,,,,
Rhamnaceae,Rhamnus cathartica,0.003009908,215,0.243834714,-2.521446842,2.33243846,-0.612904465,0.61131,42.11666667,,,,,,,,,,
Rosaceae,Sorbus torminalis,0.001095238,125,0.245436926,-2.9604916,2.096910013,-0.610060097,0.61131,41.5,,,,,,,,,,
Cunoniaceae,Eucryphia lucida,0.001320254,124,0.163711535,-2.879342405,2.093421685,-0.78592072,0.610205333,24,,,,,,,,,,
Rosaceae,Malus sylvestris,0.001194591,185,0.220999262,-2.922780905,2.267171728,-0.655609176,0.61,53,,,,,,,,,,
Rosaceae,Prunus lusitanica,0.001134115,107,0.121350299,-2.945342925,2.029383778,-0.915959148,0.61,,,,,,,,,,,
Cornaceae,Alangium villosum,0.004185387,23,0.096263897,-2.378264398,1.361727836,-1.016536562,0.607005,,,,,,,,,,,
Theaceae,Stuartia sinensis,0.00329396,87,0.234620423,-2.482281693,1.939519253,-0.629634187,0.607005,,,,,,,,,,,
Sapindaceae,Acer oblongum,0.003848451,28,0.107756628,-2.414714039,1.447158031,-0.967556007,0.6027,28,,,,,,,,,,
Tamaricaceae,Tamarix aphylla,0.018385386,11,0.202239242,-1.735527257,1.041392685,-0.694134572,0.6027,31,,,,,,,,,,
Erythroxylaceae,Erythroxylum mannii,0.005944679,30,0.178340361,-2.225871613,1.477121255,-0.748750359,0.602357379,4,,,,,,,,,,
Fabaceae,Cercis siliquastrum,0.003318307,100,0.331830724,-2.479083405,2,-0.479083405,0.602,31,,,,,,,,,,
Fabaceae,Tetraberlinia bifoliolata,0.031415927,5,0.157079633,-1.502850127,0.698970004,-0.803880123,0.601517675,,,,,,,,,,,
Fabaceae,Amburana cearensis,0.029864765,4,0.119459061,-1.524840896,0.602059991,-0.922780905,0.6,9,,,,,,,,,,
Malvaceae,Cavanillesia platanifolia,0.055154586,2,0.110309172,-1.258418371,0.301029996,-0.957388375,0.6,9.15,,,,,,,,,,
Bignoniaceae,Chilopsis linearis,0.010028749,19,0.190546234,-1.998753232,1.278753601,-0.719999631,0.6,37,,,,,,,,,,
Apocynaceae,Nerium oleander,0.002375829,45,0.106912325,-2.62418474,1.653212514,-0.970972226,0.6,31,,,,,,,,,,
Fagaceae,Nothofagus truncata,0.002642079,106,0.280060419,-2.578054132,2.025305865,-0.552748266,0.6,40.925,,,,,,,,,,
Fabaceae,Acacia mangium,0.016933724,7.7,0.130928066,-1.771247514,0.884606581,-0.882967246,0.59409,7.333333333,,,,,,,,,,
Myrtaceae,Eucalyptus deglupta,0.045238934,7,0.316672539,-1.344487635,0.84509804,-0.499389595,0.59409,1,,,,,,,,,,
Styracaceae,Huodendron biaristatum,0.002551759,83,0.211795967,-2.593160407,1.919078092,-0.674082315,0.59409,37,,,,,,,,,,
Aquifoliaceae,Ilex mitis,0.004397052,40,0.175882065,-2.356838436,1.602059991,-0.754778445,0.59409,,,,,,,,,,,
Proteaceae,Placospermum coriaceum,0.010386891,10,0.103868907,-1.983514438,1,-0.983514438,0.59409,20.59166667,,,,,,,,,,
Salvadoraceae,Salvadora persica,0.004185387,20,0.083707736,-2.378264398,1.301029996,-1.077234403,0.59409,31,,,,,,,,,,
Meliaceae,Chukrasia tabularis,0.016512996,15,0.247694946,-1.782174114,1.176091259,-0.606082855,0.590646,16.5,,,,,,,,,,
Juglandaceae,Juglans regia,0.017018596,10.1,0.139620886,-1.76907626,1.005395032,-0.85504961,0.590646,43.33333333,,,,,,,,,,
Lauraceae,Beilschmiedia brasiliensis,0.012667687,8,0.101341496,-1.897302677,0.903089987,-0.99421269,0.59,10,,,,,,,,,,
Moraceae,Brosimum potabile,0.018869191,3,0.056607573,-1.724246722,0.477121255,-1.247125468,0.59,10,,,,,,,,,,
Boraginaceae,Cordia goeldiana,0.029347711,3,0.075044795,-1.532425761,0.477121255,-1.124679427,0.59,10.5,,,,,,,,,,
Magnoliaceae,Magnolia splendens,0.008659015,14,0.121226207,-2.06253152,1.146128036,-0.916403485,0.59,18,,,,,,,,,,
Magnoliaceae,Michelia balansae,0.002827433,35,0.098960169,-2.548607618,1.544068044,-1.004539574,0.59,,,,,,,,,,,
Sapotaceae,Payena acuminata,0.016512996,10,0.165129964,-1.782174114,1,-0.782174114,0.59,8,,,,,,,,,,
Fabaceae,Pterocarpus angolensis,0.041547563,2,0.083095126,-1.381454447,0.301029996,-1.080424451,0.59,7.266666667,,,,,,,,,,
Theaceae,Schima noronhae,0.002375829,93,0.220952138,-2.62418474,1.968482949,-0.655701791,0.59,,,,,,,,,,,
Meliaceae,Entandrophragma angolense,0.034636059,4,0.138544236,-1.460471529,0.602059991,-0.858411538,0.58548,3,,,,,,,,,,
Fagaceae,Fagus sylvatica,0.002318495,110,0.353429174,-2.634793765,2.041392685,-0.451697605,0.58548,51.19166667,,,,,,,,,,
Combretaceae,Terminalia ivorensis,0.055154586,5,0.27577293,-1.258418371,0.698970004,-0.559448366,0.585219832,4.238888889,,,,,,,,,,
Proteaceae,Knightia excelsa,0.005944679,27,0.083225502,-2.225871613,1.431363764,-1.079743578,0.585,39,,,,,,,,,,
Fabaceae,Daniellia oliveri,0.033006358,3,0.099019073,-1.481402397,0.477121255,-1.004281142,0.584220183,13,,,,,,,,,,
Cunoniaceae,Weinmannia racemosa,0.001134115,129.5,0.151971403,-2.945342925,2.112269768,-0.818238127,0.583,41,,,,,,,,,,
Meliaceae,Entandrophragma utile,0.041547563,5,0.207737814,-1.381454447,0.698970004,-0.682484442,0.581175,5.238888889,,,,,,,,,,
Bignoniaceae,Jacaranda puberula,0.005741457,25,0.143536423,-2.240977889,1.397940009,-0.843037881,0.58,,,,,,,,,,,
Moraceae,Maquira sclerophylla,0.020106193,5,0.100530965,-1.696670153,0.698970004,-0.997700149,0.58,9,,,,,,,,,,
Bignoniaceae,Tabebuia insignis,0.014333516,4,0.053092916,-1.84364725,0.602059991,-1.274963423,0.58,4,,,,,,,,,,
Theaceae,Schima argentea,0.001661903,127,0.211061619,-2.779394455,2.103803721,-0.675590734,0.579,,,,,,,,,,,
Bignoniaceae,Tabebuia stenocalyx,0.00453646,18,0.081656276,-2.343282934,1.255272505,-1.088010429,0.57687,,,,,,,,,,,
Rhamnaceae,Ziziphus grewioides,0.012271846,11,0.134990309,-1.911090093,1.041392685,-0.869697407,0.57687,6,,,,,,,,,,
Magnoliaceae,Michelia baillonii,0.008332289,19,0.158313493,-2.079235669,1.278753601,-0.800482068,0.574287,,,,,,,,,,,
Betulaceae,Betula alnoides,0.007542964,21,0.158402243,-2.122457967,1.322219295,-0.800238673,0.573426,28,,,,,,,,,,
Euphorbiaceae,Alchornea triplinervia,0.023506182,10,0.235061816,-1.628817912,1,-0.628817912,0.57,20,,,,,,,,,,
Apocynaceae,Alstonia scholaris,0.016286016,4,0.065144065,-1.788185134,0.602059991,-1.186125143,0.57,11.33333333,,,,,,,,,,
